Index,Date,Open,High,Low,Close,Volume
0,2023-01-03,241.43262476039195,244.08452808924716,235.79111079802053,237.9563446044922,25740000
1,2023-01-04,230.7058047013727,231.2918025514642,224.4286441071597,227.54736328125,50623400
2,2023-01-05,225.6602189094587,226.00785295435253,220.2570844099658,220.80335998535156,39585600
3,2023-01-06,221.48868117060076,224.2299706026958,217.86342406560942,223.4055938720703,43613600
4,2023-01-09,224.9153072916648,229.67285314430194,224.87558504674809,225.5807647705078,27369800
5,2023-01-10,226.2164173879344,229.74236132652536,225.78933886245014,227.29904174804688,27033900
6,2023-01-11,229.72250049100683,234.35092249209475,229.5437276571152,234.17214965820312,28669300
7,2023-01-12,233.66559577305844,238.27414906339413,231.9771200058287,236.89356994628906,27269500
8,2023-01-13,235.3938208504726,237.74775420925627,233.32791545643065,237.60870361328125,21333300
9,2023-01-17,236.3572399087691,239.2773174765771,235.4831989618394,238.7211151123047,29831300
10,2023-01-18,239.93284136836266,240.73734941920688,233.9238403397404,234.2118682861328,30028700
11,2023-01-19,232.1956379001244,233.9238511242864,229.11664098653628,230.35816955566406,28623000
12,2023-01-20,233.26832013473367,239.108475366928,232.92068607362572,238.5919952392578,35389800
13,2023-01-23,239.46603904058472,243.50844822416892,238.02585376066736,240.93600463867188,31934000
14,2023-01-24,240.8565473943839,242.29671753329526,238.810510694987,240.399658203125,40234400
15,2023-01-25,232.89089382827808,241.6511267979856,229.33515414245005,238.97935485839844,66526600
16,2023-01-26,241.99874930057464,246.62717157111112,240.3599376063193,246.31927490234375,33454500
17,2023-01-27,247.30257200500154,248.1368755925037,245.15720693252865,246.4781951904297,26498900
18,2023-01-30,242.85291351682199,243.9355379410493,240.55857115894526,241.06512451171875,25867400
19,2023-01-31,241.80010192890217,246.26960479322707,241.30349049953273,246.13055419921875,26541100
20,2023-02-01,246.319270253771,253.45060314218173,243.80641762046724,251.03707885742188,31259900
21,2023-02-02,257.06593604175754,262.8961491112985,255.50656894890705,262.8067626953125,39940400
22,2023-02-03,257.78105867203635,262.4094806412304,255.3575925712437,256.59912109375,29077300
23,2023-02-06,255.69528830803458,256.54944539443574,253.05331193748864,255.02981567382812,22518000
24,2023-02-07,258.76434865798757,266.94849526658015,258.3173862498726,265.7467041015625,50841400
25,2023-02-08,271.34848559902093,274.88435640099067,264.40583750019556,264.9223327636719,54686000
26,2023-02-09,271.9443742480176,272.1231773774949,261.0189241015767,261.8333740234375,42375100
27,2023-02-10,259.75755797641705,262.30020592254067,258.89345898912364,261.3169250488281,25818500
28,2023-02-13,265.8261788658231,272.73900143412436,265.33947905664934,269.4812316894531,44630900
